Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Group|Background
1867 | | | | | | | | | Land Revenue Increase in Deccan | <h3>Event Summary</h3><p>The government increased land revenue by 50% in the Deccan region.</p><h4>Key Details</h4><ul><li>Followed the cotton crash of 1864</li><li>Was followed by harvest failures</li><li>Contributed to worsening economic conditions for peasants</li></ul><h4>Significance</h4><p>This increase in taxation further burdened already struggling peasants and contributed to the Deccan Riots.</p> | | | | | | | Economic Policies |
1874 | | | | | | | | | Deccan Riots | <h3>Event Summary</h3><p>Peasants in the Deccan region rioted against moneylenders after implementing social boycotts.</p><h4>Key Details</h4><ul><li>Followed economic distress caused by ryotwari taxation, the cotton crash, and revenue increases</li><li>Targeted moneylenders who were exploiting peasants</li><li>Led to government repression</li><li>Eventually resulted in the Deccan Agriculturists Relief Act of 1879</li></ul><h4>Significance</h4><p>These riots represented peasant resistance against economic exploitation and led to conciliatory measures from the government.</p> | | | | | | | Freedom Movement |
1879 | | | | | | | | | Deccan Agriculturists Relief Act | <h3>Event Summary</h3><p>The government passed the Deccan Agriculturists Relief Act as a conciliatory measure following the Deccan Riots.</p><h4>Key Details</h4><ul><li>Aimed to provide some relief to indebted peasants</li><li>Came after the 1874 agrarian riots against moneylenders</li><li>Was part of the government's response to peasant unrest</li></ul><h4>Significance</h4><p>This legislation was a conciliatory measure to address some peasant grievances while maintaining colonial control.</p> | | | | | | | Constitutional Development |
1918 | | | | | | | | | Founding of UP Kisan Sabha | <h3>Event Summary</h3><p>The United Provinces Kisan Sabha was founded by Gauri Shankar Mishra and Indra Narayan Dwivedi.</p><h4>Key Details</h4><ul><li>Formed in the context of worsening conditions for peasants after World War I</li><li>Home Rule activists helped organize kisan sabhas</li><li>Aimed to address issues of high rents imposed by taluqdars in Awadh</li></ul><h4>Significance</h4><p>This organization represented an important step in the formal organization of peasant movements in North India.</p> | | | | | | | Freedom Movement |
1920 | | | | | | | | | Founding of Awadh Kisan Sabha | <h3>Event Summary</h3><p>The Awadh Kisan Sabha was founded to oppose bedakhali land (no tilling) and forced labor (hari/begar).</p><h4>Key Details</h4><ul><li>Formed in the context of taluqdars regaining power and imposing high rents after 1857</li><li>Followed the founding of the UP Kisan Sabha in 1918</li><li>Opposed exploitative practices like forced labor and land policies</li></ul><h4>Significance</h4><p>This organization focused specifically on the grievances of peasants in the Awadh region.</p> | | | | | | | Freedom Movement |
1921 | | | | | | | | | Kisan Sabha Direct Action | <h3>Event Summary</h3><p>Peasant movement tactics evolved from meetings to direct action.</p><h4>Key Details</h4><ul><li>Followed the founding of the Awadh Kisan Sabha</li><li>Represented an escalation in peasant resistance strategies</li><li>Eventually declined due to repression and the Awadh Rent (Amendment) Act</li></ul><h4>Significance</h4><p>This shift to direct action marked a more confrontational phase in the peasant movement.</p> | | | | | | | Freedom Movement |
1921 | | | | 1922 | 3 | | | 1921-March 1922 | Eka Movement | <h3>Event Summary</h3><p>Peasants in Northern UP protested against excessive rents and oppression by thikadars (revenue collectors).</p><h4>Key Details</h4><ul><li>Peasants were charged rents 50% or more above recorded rates</li><li>Participants took vows to pay only recorded rent, not leave when evicted, refuse forced labor, and abide by panchayat decisions</li><li>Led by low-caste leaders</li><li>Movement was crushed by March 1922</li></ul><h4>Significance</h4><p>This movement represented organized resistance by peasants against economic exploitation.</p> | | | | | | | Freedom Movement |
1921 | 8 | | | 1921 | 12 | | | August-December 1921 | Mappila Revolt | <h3>Event Summary</h3><p>Muslim tenants in Malabar revolted against Hindu landlords and British authority.</p><h4>Key Details</h4><ul><li>Grievances included tenure insecurity, high rents, and renewal fees</li><li>Merged with the Khilafat movement and was supported by national leaders</li><li>Triggered by Ali Musaliar's arrest in August 1921</li><li>Initially targeted British authority and Hindu landlords</li><li>Acquired a communal character after martial law was imposed</li><li>Became isolated from the national movement by December 1921</li></ul><h4>Significance</h4><p>This revolt represented the intersection of agrarian grievances with religious and anti-colonial sentiment.</p> | | | | | | | Freedom Movement |
1926 | | | | | | | | | Bardoli Revenue Increase | <h3>Event Summary</h3><p>Authorities increased Bardoli taluka land revenue by 30%.</p><h4>Key Details</h4><ul><li>Congress investigation found the hike unjustified</li><li>Led to the Bardoli Satyagraha led by Vallabhbhai Patel</li></ul><h4>Significance</h4><p>This revenue increase triggered one of the most significant peasant movements of the period.</p> | | | | | | | Economic Policies |
1928 | | | | | | | | | Bardoli Satyagraha Resolution | <h3>Event Summary</h3><p>A government committee reduced the Bardoli revenue increase from 30% to 6.03%.</p><h4>Key Details</h4><ul><li>Followed the Bardoli Satyagraha led by Vallabhbhai Patel</li><li>Represented a significant concession to the peasant movement</li><li>Came after peasants refused to pay the increased assessment</li></ul><h4>Significance</h4><p>This resolution demonstrated the effectiveness of organized non-violent resistance under Patel's leadership.</p> | | | | | | | Freedom Movement |
1936 | 4 | | | | | | | April 1936 | Founding of All India Kisan Congress/Sabha | <h3>Event Summary</h3><p>The All India Kisan Congress/Sabha was founded in Lucknow.</p><h4>Key Details</h4><ul><li>Founded by Sahajanand Saraswati (president) and N.G. Ranga (secretary)</li><li>Issued a kisan manifesto</li><li>Started a periodical by Indulal Yagnik</li><li>Influenced the 1937 Congress election manifesto</li></ul><h4>Significance</h4><p>This organization represented the first national-level peasant organization and marked the integration of peasant issues into the broader nationalist movement.</p> | | | | | | | Freedom Movement |
1937 | | | | 1939 | | | | 1937-1939 | Peasant Movement under Congress Ministries | <h3>Event Summary</h3><p>The peasant movement reached its peak under Congress provincial rule.</p><h4>Key Details</h4><ul><li>Mobilization occurred through kisan conferences and village campaigns</li><li>Various regional movements emerged during this period</li><li>Included the Kerala Peasant Movement, Andhra Anti-Zamindar Movement, Bihar Kisan Movement, and Punjab Peasant Mobilization</li></ul><h4>Significance</h4><p>This period saw the greatest expansion and coordination of peasant movements across India.</p> | | | | | | | Freedom Movement |
1933 | | | | | | | | | Establishment of India Peasants' Institute | <h3>Event Summary</h3><p>N.G. Ranga established the India Peasants' Institute.</p><h4>Key Details</h4><ul><li>Part of the Andhra Anti-Zamindar Movement</li><li>Aimed at organizing and educating peasants</li><li>Contributed to the decline of zamindari power in Andhra</li></ul><h4>Significance</h4><p>This institution helped formalize peasant organization and education in the Andhra region.</p> | | | | | | | Freedom Movement |
1935 | | | | | | | | | Bihar Provincial Kisan Conference | <h3>Event Summary</h3><p>A Provincial Kisan Conference was held in Bihar as part of the anti-zamindari struggle.</p><h4>Key Details</h4><ul><li>Led by Sahajanand Saraswati, Karyanand Sharma, and Yadunandan Sharma</li><li>Part of the broader Bihar Kisan Movement</li><li>The movement ended by August 1939 due to an unfavorable government resolution</li></ul><h4>Significance</h4><p>This conference represented organized peasant resistance against zamindari exploitation in Bihar.</p> | | | | | | | Freedom Movement |
1938 | | | | | | | | | Campaign for Malabar Tenancy Act Amendment | <h3>Event Summary</h3><p>A campaign was launched to amend the Malabar Tenancy Act.</p><h4>Key Details</h4><ul><li>Part of the Kerala Peasant Movement</li><li>Led by Congress Socialist Party activists</li><li>Included the formation of Karshak Sanghams (peasant organizations)</li><li>Featured jatha marches to landlords</li></ul><h4>Significance</h4><p>This campaign represented organized efforts to secure tenancy reforms in the Malabar region.</p> | | | | | | | Freedom Movement |
1946 | 9 | | | | | | | September 1946 | Tebhaga Movement | <h3>Event Summary</h3><p>Sharecroppers in North Bengal launched a mass struggle demanding two-thirds share of crops.</p><h4>Key Details</h4><ul><li>Led by the Bengal Provincial Kisan Sabha and Communist cadres</li><li>Primarily in Rajbanshi areas of North Bengal</li><li>Sharecroppers (bargardar, bagchasi/adhyar) demanded tebhaga (two-thirds) crop share</li><li>Featured the "Nij khamare dhan tolo" (Take paddy to own threshing floor) campaign</li><li>Dissipated due to Muslim League's Bargadari Bill and communal tensions</li></ul><h4>Significance</h4><p>This movement represented a significant challenge to traditional crop-sharing arrangements.</p> | | | | | | | Freedom Movement |
